UNIX_timestamp,prices,market_caps,total_volumes
1.52323E+12,0.999615,2286260265,1089360000
1.52332E+12,0.997554,2281546468,1663420000
1.5234E+12,0.998841,2284490018,1264100000
1.52349E+12,0.995092,2275915527,1725430000
1.52358E+12,0.999828364,2286748258,2838132.818
1.52366E+12,0.995712549,2277334809,2972995.614
1.52375E+12,0.998812244,2284424248,988741.0331
1.52384E+12,1.000291019,2287806414,843295.0774
1.52392E+12,1.000671614,2288676891,2120618.852
1.52401E+12,0.99815735,2282926413,1145016.782
1.5241E+12,0.999861633,2286824349,1154168.222
1.52418E+12,1.000513259,2288314709,878384.5399
1.52427E+12,0.999781978,2286642166,1202118.466
1.52436E+12,0.999988953,2287115549,1030884.864
1.52444E+12,1.002659297,2293223001,797465.0799
1.52453E+12,1.001375745,2290287336,887700.3409
1.52461E+12,1.001893695,2291471962,2447442.505
1.5247E+12,1.000886436,2419283455,3872537.205
1.52479E+12,1.000419595,2418155033,4328738.551
1.52487E+12,0.99761534,2411376754,1982958.721
1.52496E+12,0.999061277,2414871788,1765326.252
1.52505E+12,1.000317769,2417908907,2003807.718
1.52513E+12,0.998807955,2414259473,1729590.051
1.52522E+12,0.99898922,2414697615,1883772.002
1.52531E+12,0.999034699,2314904076,2465175.235
1.52539E+12,1.023943933,2372622278,572.5061997
1.52548E+12,0.997392272,2261228728,4722808.819
1.52556E+12,0.992209451,2249478541,1779218.966
1.52565E+12,0.992488576,2180637158,1160577.85
1.52574E+12,0.998596366,2154112978,2217845.171
1.52582E+12,0.998929581,2104885290,5989591.394
1.52591E+12,1.000822198,2108873301,3708335.902
1.526E+12,0.999401195,2105879047,5860212.635
1.52608E+12,1.002709721,2112850578,1938198.452
1.52617E+12,1.006082148,2220564971,1288836.025
1.52626E+12,1.000862458,2209044380,588062.8483
1.52634E+12,1.001272183,2209948701,1286034.593
1.52643E+12,0.998650011,2204161199,1586606.627
1.52652E+12,1.002801507,2313604286,1655577.005
1.5266E+12,1.001457703,2310503939,898460.7497
1.52669E+12,0.998555975,2503520439,2215000.819
1.52677E+12,1.001289581,2510373976,1193605.501
1.52686E+12,1.001041298,2509751495,550156.7785
1.52695E+12,0.998449887,2503254463,1839341.27
1.52703E+12,0.997385583,2500586103,1902722.413
1.52712E+12,1.000661655,2508799677,1424828.034
1.52721E+12,1.001400848,2510652937,1369472.455
1.52729E+12,1.002893064,2514394133,1045315.878
1.52738E+12,0.999772769,2506571114,1029998.956
1.52747E+12,0.999668675,2506310135,421562.7611
1.52755E+12,1.004181133,2517623504,821200.164
1.52764E+12,0.999167831,2505054449,1697346.335
1.52772E+12,0.997879794,2501825160,1890410.257
1.52781E+12,1.000784522,2509107720,814795.85
1.5279E+12,1.002017962,2512200130,635111.4744
1.52798E+12,0.999885325,2506853306,2284488.221
1.52807E+12,1.001386216,2510616253,1421215.559
1.52816E+12,1.002962718,2514568765,1208516.729
1.52824E+12,0.99935196,2505516088,1305878.451
1.52833E+12,0.998172894,2502560003,2123260.695
1.52842E+12,0.9992695,2505309348,1642225.921
1.5285E+12,1.00152523,2510964780,434983.8674
1.52859E+12,1.003475811,2515854692,291020.5216
1.52868E+12,1.002700944,2513911992,1557517.207
1.52876E+12,1.001631627,2511231064,1523509.135
1.52885E+12,1.002161748,2512560152,1185021.671
1.52893E+12,1.001385042,2510612842,1476714.329
1.52902E+12,1.001581452,2511105268,2954359.888
1.52911E+12,0.999852312,2606755302,2763878.269
1.52919E+12,1.00166606,2611483998,547686.6146
1.52928E+12,1.000146421,2607522087,780954.9597
1.52937E+12,1.000124944,2607466092,1223582.343
1.52945E+12,1.000827986,2609299022,1283164.173
1.52954E+12,0.998663734,2603656512,1168874.429
1.52963E+12,1.000195639,2607650405,1173163.352
1.52971E+12,1.004063767,2617735158,1977950.06
1.5298E+12,1.005239686,2620800944,610017.2877
1.52988E+12,1.002559811,2613814134,2063224.06
1.52997E+12,1.000402468,2708229883,1956735.031
1.53006E+12,1.001508555,2711224215,1358098.468
1.53014E+12,1.001357719,2710815882,1501570.452
1.53023E+12,0.999485653,2705747936,2535219.72
1.53032E+12,1.00124919,2710522078,1057830.989
